trip_id,taxi_id,trip_seconds,trip_miles,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,pickup_community_area,dropoff_community_area,trip_start_timestamp,zip
0e4b9cab6390e44644170f382946aa9890858659,7f9a6d676afea5d94d661cacb40cefdd6b22f62663754236d997eb86e59a7ac8238eef593c6a4f9ed765cf644a7d1e64b946c935824fb5295bc604d6f0af8bb2,1092,7.39,41.944226601,-87.655998182,41.874005383,-87.66351755,6,28,2023-02-28,60607
20a46374cdd576fba29d73ac50a29abea465d3c3,fed019ef14a3bfeaa5ef5f523be5d8dc28943952aa66a32b169159a896a4d56b76e5069c15599c4c135c3ddc2d95ae016279442ebbac510bd03c8ff9e7bb9828,1020,8.2,41.777196255,-87.642497527,41.874005383,-87.66351755,68,28,2023-02-28,60607
3ca487202faf1da072ade6a27f5535b05ba0a3d9,a9263292f54a406cd0fb2bac808b9aaca91f770ad5e0fdb9f4ef446a77fe5b81144b2f88e1190ccf7045dc675362bd31b514fa0c5a5f5f6107bfd78693682805,1500,9.6,41.878865584,-87.625192142,41.975170943,-87.687515515,32,4,2023-02-28,60625
066176190c3dc0bbffbcccae5f251c9e5f9df04a,20f934fdbdc9a49b1c77a16499683727101bc8c3184739476513e131faebd5d84541834ef672ee50968f139dc7b8d0c4628d6c7a91ce1c54bd58588dcada9e87,380,1.36,41.808916283,-87.596183344,41.812948939,-87.617859676,39,38,2023-02-28,60653
6c1674dcc3db29a3f58bef187745d8175efb0643,4136627ef25b9fad79910c55679c02d8e1f2a42925d29c89625b9a1b45192d184a2a2d368927e2eeccd104c0c21efb24cbe8a9d1c27bc3513911181e1c9ac216,420,0.0,41.878865584,-87.625192142,41.899602111,-87.633308037,32,8,2023-02-28,60610
4b6ed792f91965bc5362a6315a80f4b6df973641,2981edd199f55bdc8b5ed188de69e9f5d8116ae8d7a434fa0574d57740840e697755e4e77bb4ce8265289b6548d53674a5ac16dde44c3cf653e3ce1c8e064265,960,13.0,41.842076117,-87.633973422,41.673819904,-87.635739777,34,53,2023-02-28,60628
02a0284f08ebad9f4a5e89ab996719b4b0308ef2,1bb291b27cad860cc5e09ee3aea1261128edd297b00374adfcc6e40321f6310ee5b8472821d03d84ae58d1c7773410fd3c81cafd92ff2f3a1534df351322a0a5,485,1.9,41.975170943,-87.687515515,41.9867118,-87.663416405,4,77,2023-02-28,60660
3ff3e7c953188412df029bf24a807967127b3fe3,0ec47f4701f91d7ec5be91fc7b7e4a05e3bf591444ca4fc68aff4cb986b52abd2a7936c0565f3f1ec5d3782a34ec94e8b7afc14896a42497b2814d01f208a608,1291,12.72,41.899602111,-87.633308037,41.740205756,-87.615969523,8,44,2023-02-28,60619
94bbf01e8fd9f3b8b666d35e1d3e5563b1cb2550,55284a1a2f57ef8c8b5b419ebc488e397702ab52f0b867098631fd1882d830e7b61c6fd10211c96f7e251fd38ffb5955f8d8725214787b5b17e038e0f0dbad48,480,1.5,41.878865584,-87.625192142,41.899602111,-87.633308037,32,8,2023-02-28,60610
e943d864eba289e5ed62debd37a7c313e4f67889,ae21d024a249783394ef3fcd91c8abad23fe127549fe964ac600cfa54a91bf42db12d9982b9d4b4b12b8f871e08d44811e99a54675bb1d2806716aaffaba3989,1260,0.7,41.980264315,-87.913624596,41.947791586,-87.683834942,76,5,2023-02-28,60618
c37281aa75125d710b6987ef42bbacf68fa38245,9492b268e840fcd19b554ae0d61ab86a48eee56b7fba98ac2bfde913e4b55d9a3f5b283a36acaa3986be9530ae7a1d59d070b6f028f8f79d208aa17a6b898d13,603,7.13,41.874005383,-87.66351755,41.80908443,-87.632424524,28,37,2023-02-28,60609
